t__s,ACT_TILT_CENTER_REAR.Position_CMD,ACT_TILT_CENTER_REAR.Position_FB,ACT_TILT_CENTER_REAR.Torque_FB,ACT_TILT_CENTER_REAR.Temperature_FB__dC,ACT_TILT_CENTER_REAR.Voltage_FB__V
60.699869,6088,6088,0,38,6.14
60.799831,6088,6088,0,38,6.14
60.899876,6088,6088,0,38,6.14
60.999827,6088,6088,0,38,6.14
61.099889,6088,6088,0,38,6.14
61.19984,6088,6088,0,38,6.14
61.299895,6088,6088,0,38,6.14
61.399828,6088,6088,0,38,6.13
61.499887,6088,6088,0,38,6.13
61.599837,6088,6088,0,38,6.13
61.699884,6088,6088,0,38,6.14
61.799828,6088,6088,0,38,6.14
61.899867,6088,6088,0,38,6.14
61.999829,6088,6088,0,38,6.13
62.099955,6088,6088,0,38,6.13
62.19984,6088,6088,0,38,6.14
62.299886,6088,6088,0,38,6.14
62.399838,6088,6088,0,38,6.14
62.499884,6088,6088,0,38,6.14
62.599833,6088,6088,0,38,6.14
62.699879,6088,6088,0,38,6.12
62.799837,6088,6088,0,38,6.12
62.899868,6088,6088,0,38,6.12
62.999839,6088,6088,0,38,6.13
63.099851,6088,6088,0,38,6.13
63.19983,6088,6088,0,38,6.14
63.29986,6088,6088,0,38,6.14
63.399838,6088,6088,0,38,6.14
63.499848,6088,6088,0,38,6.14
63.599835,6088,6088,0,38,6.14
63.699858,6088,6088,0,38,6.14
63.799839,6088,6088,0,38,6.14
63.89985,6088,6088,0,38,6.14
63.999832,6088,6088,0,38,6.13
64.099852,6088,6084,0,38,6.13
64.199831,6088,6088,0,38,6.13
64.299854,6088,6088,0,38,6.13
64.399829,6088,6088,0,38,6.14
64.499849,6088,6088,0,38,6.14
64.599836,6088,6088,0,38,6.14
64.699852,6088,6088,0,38,6.14
64.79983,6088,6088,0,38,6.14
64.899852,6088,6088,0,38,6.14
64.999832,6088,6088,0,38,6.13
65.099861,6088,6088,0,38,6.13
65.199838,6088,6088,0,38,6.14
65.29985,6088,6088,0,38,6.14
65.399837,6088,6088,0,38,6.13
65.49985,6088,6088,0,38,6.13
65.599831,6088,6088,0,38,6.13
65.699859,6088,6088,0,38,6.14
65.799833,6088,6088,0,38,6.14
65.899851,6088,6088,0,38,6.14
65.999838,6088,6088,0,38,6.13
66.09985,6088,6088,0,38,6.13
66.199828,6088,6088,0,38,6.14
66.29985,6088,6088,0,38,6.14
66.399841,6088,6088,0,38,6.14
66.499857,6088,6088,0,38,6.14
66.599836,6088,6088,0,38,6.14
66.699852,6088,6088,0,38,6.14
66.79983,6088,6088,0,38,6.14
66.89985,6088,6088,0,38,6.14
66.999828,6088,6088,0,38,6.13
